Topic,Name,Type,Url,External ID,Description
Snowlfake,Snowflake 1.0 | LR | System Usage and Billing 5,Tutorial,https://docs.snowflake.com/en/user-guide/admin-serverless-billing.html,Snowflake 1.0 | LR | System Usage and Billing 5,
Snowlfake,Snowflake 1.0 | LR | System Usage and Billing 6,Tutorial,https://docs.snowflake.com/en/user-guide/admin-monitoring-usage.html,Snowflake 1.0 | LR | System Usage and Billing 6,
Snowlfake,Snowflake 1.0 | LR | System Usage and Billing 7,Tutorial,https://docs.snowflake.com/en/user-guide/resource-monitors.html,Snowflake 1.0 | LR | System Usage and Billing 7,
Snowlfake,Snowflake 1.0 | LR | User and Account Management 1,Tutorial,https://docs.snowflake.com/en/user-guide/admin-account-management.html,Snowflake 1.0 | LR | User and Account Management 1,
Snowlfake,Snowflake 1.0 | LR | User and Account Management 2,Tutorial,https://docs.snowflake.com/en/user-guide/admin-user-management.html,Snowflake 1.0 | LR | User and Account Management 2,
Snowlfake,Snowflake 1.0 | LR | WebUI 1,Video,https://www.youtube.com/watch?v=fEtoYweBNQ4,Snowflake 1.0 | LR | WebUI 1,
Snowlfake,Snowflake 1.0 | LR | WebUI 2,Tutorial,https://docs.snowflake.com/en/user-guide/snowflake-manager.html,Snowflake 1.0 | LR | WebUI 2,
Snowlfake,Snowflake starter kit,Article,https://docs.google.com/document/d/1ksJi69mF8snPOTkgt4RNq5ZvJ87TNl7Fv5SHEasN3ig/edit?usp=sharing,Snowflake starter kit,Snowflake starter kit
,,,,,
MATILLION ,,,,,
Matillion,Matillion | LR | 1 Introduction,Web Resource,https://documentation.matillion.com/docs,Matillion | LR | 1 Introduction,
Matillion,Matillion | LR | 10 Snowflake CICD process and Matillion life cycle,Video,https://drive.google.com/file/d/1cy8kVIl8ZtR4L_NLDDcX9uM4vkp339UI/view?usp=sharing,Matillion | LR | 10 Snowflake CICD process and Matillion life cycle,Snowflake CICD process and Matillion life cycle
Matillion,Matillion | LR | 11 Matillion Academy - introduction,Video,https://drive.google.com/file/d/1klq-gQmK4mA6jFY-hAPDLiFhvd1FLjWy/view?usp=sharing,Matillion | LR | 11 Matillion Academy - introduction,Introduction session from Matillion
Matillion,Matillion | LR | 11 Matillion Academy - Workshop,Video,https://drive.google.com/file/d/1HPtYYvg0XnLwYsQgRUEZkBo1K4u1OGL5/view?usp=sharing,Matillion | LR | 11 Matillion Academy - Workshop,Workshop session with Matillion
Matillion,Matillion | LR | 2 Variables,Web Resource,https://documentation.matillion.com/docs/2037630,Matillion | LR | 2 Variables,
Matillion,Matillion | LR | 3 Manage Backups,Web Resource,https://documentation.matillion.com/docs/2689509,Matillion | LR | 3 Manage Backups,
Matillion,Matillion | LR | 4 Manage Extract Profiles,Web Resource,https://documentation.matillion.com/docs/7505305,Matillion | LR | 4 Manage Extract Profiles,
Matillion,Matillion | LR | 5 Data Staging Components,Web Resource,https://documentation.matillion.com/docs/2852125,Matillion | LR | 5 Data Staging Components,
Matillion,Matillion | LR | 6 ETL API - v1,Web Resource,https://documentation.matillion.com/docs/29161244,Matillion | LR | 6 ETL API - v1,
Matillion,Matillion | LR | 7 Matillion Academy,Web Resource,https://academy.matillion.com/login,Matillion | LR | 7 Matillion Academy,Matillion Academy On Demand Content. Please register to access the content.
Matillion,Matillion | LR | 8 Matillion Best Practices,Web Resource,https://drive.google.com/file/d/1XcAyOw0HxUdiusAP4Ixdg5K0y-YtNfr-/view?usp=sharing,Matillion | LR | 8 Matillion Best Practices,Matillion Best Practices
Matillion,Matillion | LR | 9 Optimizing Snowflake,Web Resource,https://drive.google.com/file/d/1jy_6M_318LzNzhlo0sYQ-fFc0lLNMGJS/view,Matillion | LR | 9 Optimising Snowflake,Optimizing Snowflake
Matillion,Matillion | LR | Snowflake CICD process and with Matillion lifecycle,Video,https://drive.google.com/drive/folders/1usmqVnysDmhIuVynNuNyzCfYvuH_8FwW,Matillion | LR | Snowflake CICD process and with Matillion lifecycle,Snowflake CICD process and with Matillion lifecycle
Matillion,Matillion | LR | Walkthrough 1,Video,https://drive.google.com/drive/folders/1usmqVnysDmhIuVynNuNyzCfYvuH_8FwW,Matillion | LR | Walkthrough 1,
Matillion,Matillion | LR | Walkthrough 2,Video,https://drive.google.com/drive/folders/1usmqVnysDmhIuVynNuNyzCfYvuH_8FwW,Matillion | LR | Walkthrough 2,
,,,,,
PYTHON ,,,,,
,Python | LR | Comprehensive source,Web Resource,https://learning.oreilly.com/videos/python-fundamentals/9780135917411/,Python | LR | Comprehensive source,
,Python | LR | CSV with python,Web Resource,https://www.programiz.com/python-programming/reading-csv-files,Python | LR | CSV with python,
,Python | LR | Excerises,Web Resource,https://www.w3resource.com/python-exercises/,Python | LR | Excerises,Hands on practise
